Kategorie,Anzahl Loesungen,Indizes der Puzzles,Anzahl der Puzzles
"(1, 2, 2, 2)",291,"[470, 475, 487, 496, 2018, 2040, 2356, 2373, 2997, 3012, 3270, 3282]",12
"(1, 2, 3, 1)",494,"[531, 786, 1891, 1895, 2290, 2295, 2339, 2378, 2426, 2591, 2612, 2639]",12
"(1, 2, 3, 1)",492,"[509, 771, 1912, 1917, 2269, 2273, 2360, 2400, 2411, 2606, 2627, 2634]",12
"(1, 2, 3, 1)",402,"[505, 2172, 2365, 2395, 2416, 2535]",6
"(1, 2, 3, 1)",372,"[526, 2157, 2343, 2374, 2428, 2550]",6
"(1, 3, 0, 3)",502,"[903, 1000, 1303, 2850, 3108, 3205]",6
"(1, 3, 0, 3)",488,"[847, 960, 1316, 1408, 1429, 1464, 2689, 2724, 2745, 2834, 3151, 3261]",12
"(1, 3, 0, 3)",486,"[925, 981, 1281, 2869, 3130, 3186]",6
"(1, 3, 0, 3)",460,"[869, 938, 1338, 1386, 1448, 1483, 2667, 2702, 2764, 2815, 3170, 3242]",12
"(1, 3, 0, 3)",458,"[1378, 2772]",2
"(1, 3, 0, 3)",386,"[1359, 2794]",2
"(1, 3, 1, 2)",534,"[113, 463, 968, 1425, 2240, 2388, 2875, 2891, 3147, 3160, 3195, 3304]",12
"(1, 3, 1, 2)",522,"[476, 498, 2732, 2754, 3274, 3283]",6
"(1, 3, 1, 2)",520,"[385, 519, 1346, 1496, 1884, 2332, 2824, 2831, 2859, 3211, 3218, 3258]",12
"(1, 3, 1, 2)",498,"[1355, 1489, 1849, 2283, 2866, 3251]",6
"(1, 3, 1, 2)",477,"[407, 538, 1368, 1505, 1862, 2310, 2802, 2811, 2837, 3225, 3227, 3238]",12
"(1, 3, 1, 2)",475,"[91, 441, 990, 1445, 2262, 2407, 2882, 2889, 3138, 3167, 3173, 3295]",12
"(1, 3, 1, 2)",466,"[1375, 1503, 1827, 2302, 2846, 3229]",6
"(1, 3, 1, 2)",454,"[1451, 1460, 1473, 1480, 1771, 1793, 2353, 2372, 2741, 2761, 3267, 3281]",12
"(1, 3, 1, 2)",452,"[977, 997, 1416, 1438, 1905, 1924, 2205, 2227, 3182, 3202, 3288, 3302]",12
"(1, 3, 2, 1)",533,"[506, 515, 1914, 2270, 2369, 2397, 2404, 2420, 2886, 3207, 3278, 3306]",12
"(1, 3, 2, 1)",502,"[1485, 1921, 2279, 2362, 2413, 3299]",6
"(1, 3, 2, 1)",500,"[1500, 1901, 2299, 2340, 2427, 3284]",6
"(1, 3, 2, 1)",481,"[528, 535, 1892, 2292, 2349, 2375, 2384, 2429, 2871, 3222, 3263, 3311]",12
"(1, 3, 3, 0)",566,"[2409, 2424]",2
"(2, 0, 0, 5)",516,"[1006, 1037, 1072, 1142, 1520, 2906]",6
"(2, 0, 1, 4)",524,"[208, 610, 1102, 1559, 2895, 3036]",6
"(2, 0, 1, 4)",512,"[274, 544, 1026, 1181, 2971, 3330]",6
"(2, 0, 1, 4)",502,"[183, 575, 1111, 1131, 1138, 1550, 1585, 1594, 1930, 2066, 2902, 3027]",12
"(2, 0, 1, 4)",464,"[1068, 1641, 1961]",3
"(2, 0, 1, 4)",456,"[131, 239, 1033, 1172, 1207, 1216, 1509, 1516, 1996, 2444, 2980, 3321]",12
"(2, 0, 1, 4)",412,"[152, 680, 1061, 1650, 2936, 2945]",6
"(2, 0, 2, 3)",592,"[640, 649, 1619, 2055, 2062, 3023]",6
"(2, 0, 2, 3)",527,"[228, 235, 304, 571, 1241, 1546, 2140, 2433, 2509, 2518, 3082, 3317]",12
"(2, 0, 2, 3)",518,"[313, 564, 1168, 2131, 2440, 3376]",6
"(2, 0, 2, 3)",458,"[179, 710, 1203, 1581, 1637, 1696, 1957, 1992, 2035, 2096, 2474, 2565]",12
"(2, 0, 2, 3)",409,"[172, 263, 599, 676, 719, 754, 1985, 2574, 2932, 3005, 3061, 3355]",12
"(2, 0, 2, 3)",385,"[270, 606, 669, 745, 1098, 1675, 1950, 2026, 2105, 2483, 2967, 3404]",12
"(2, 0, 3, 2)",474,"[636, 779, 2092, 2127, 2543, 2561]",6
"(2, 0, 3, 2)",438,"[300, 706, 2165, 2470, 2505, 2620]",6
"(2, 0, 3, 2)",388,"[741, 2022, 2599]",3
"(2, 1, 0, 4)",518,"[824, 1070, 1647, 1651, 2675, 2942]",6
"(2, 1, 0, 4)",514,"[855, 1140, 1556, 1595, 2644, 3033]",6
"(2, 1, 0, 4)",498,"[803, 1178, 1217, 1518, 2710, 3327]",6
"(2, 1, 0, 4)",497,"[911, 946, 1030, 1035, 1182, 1213, 1258, 1513, 2977, 2981, 3116, 3331]",12
"(2, 1, 0, 4)",455,"[880, 1108, 1112, 1135, 1289, 1324, 1560, 1591, 2780, 2899, 2904, 3037]",12
"(2, 1, 0, 4)",452,"[1065, 1394, 2946]",3
"(2, 1, 1, 3)",556,"[851, 1214, 1592, 1639, 1672, 1697, 1727, 1779, 2102, 2480, 2706, 3401]",12
"(2, 1, 1, 3)",549,"[19, 716, 1205, 1583, 1648, 1702, 1748, 2571, 2671, 2749, 3058, 3352]",12
"(2, 1, 1, 3)",548,"[237, 976, 1552, 2519, 3086, 3105]",6
"(2, 1, 1, 3)",537,"[314, 573, 900, 1174, 1245, 1278, 2141, 2442, 2845, 3181, 3323, 3380]",12
"(2, 1, 1, 3)",534,"[650, 1354, 1623, 2064, 2769, 3029]",6
"(2, 1, 1, 3)",499,"[99, 568, 985, 1170, 1179, 1543, 2137, 2182, 3079, 3112, 3377, 3382]",12
"(2, 1, 1, 3)",495,"[272, 608, 678, 755, 844, 1679, 2664, 2699, 2740, 3065, 3359, 3408]",12
"(2, 1, 1, 3)",475,"[310, 341, 907, 1165, 1247, 1548, 1870, 2437, 3083, 3190, 3328, 3373]",12
"(2, 1, 1, 3)",471,"[47, 232, 1238, 1242, 1285, 1557, 2248, 2515, 2854, 3088, 3314, 3319]",12
"(2, 1, 1, 3)",461,"[393, 646, 1363, 1616, 1620, 1625, 1804, 2059, 2776, 3020, 3025, 3034]",12
"(2, 1, 1, 3)",460,"[1104, 1209, 1383, 1424, 1459, 1587, 1959, 2036, 2106, 2484, 2973, 3237]",12
"(2, 1, 1, 3)",439,"[942, 1109, 1320, 1634, 1676, 1693, 1835, 1954, 2032, 2213, 2978, 3405]",12
"(2, 1, 1, 3)",436,"[181, 720, 935, 1313, 1643, 1700, 1994, 2575, 2810, 2938, 3009, 3146]",12
"(2, 1, 1, 3)",426,"[68, 362, 673, 751, 1100, 1681, 2819, 2929, 2969, 3002, 3155, 3410]",12
"(2, 1, 1, 3)",419,"[176, 449, 1200, 1390, 1468, 1578, 1989, 2318, 2943, 3011, 3062, 3356]",12
"(2, 1, 1, 3)",390,"[267, 418, 484, 603, 1095, 1433, 2934, 2964, 3006, 3067, 3246, 3361]",12
"(2, 1, 2, 2)",580,"[1694, 1775, 2596]",3
"(2, 1, 2, 2)",558,"[88, 302, 712, 717, 2237, 2507, 2624, 2626, 2879, 3097, 3142, 3348]",12
"(2, 1, 2, 2)",557,"[382, 638, 783, 785, 1859, 2129, 2567, 2572, 2806, 3054, 3215, 3391]",12
"(2, 1, 2, 2)",536,"[95, 703, 1239, 1673, 1909, 2162, 2209, 2244, 2467, 2617, 3374, 3428]",12
"(2, 1, 2, 2)",528,"[647, 780, 1350, 1711, 1824, 2098, 2138, 2278, 2547, 2563, 2841, 3397]",12
"(2, 1, 2, 2)",511,"[389, 776, 1617, 1713, 1831, 1866, 2089, 2287, 2540, 2558, 3080, 3402]",12
"(2, 1, 2, 2)",493,"[311, 708, 972, 1668, 1900, 2169, 2202, 2476, 2516, 2621, 3177, 3426]",12
"(2, 1, 2, 2)",470,"[743, 752, 1768, 2603, 2736, 3419]",6
"(2, 1, 2, 2)",464,"[306, 438, 1234, 1420, 2166, 2171, 2383, 2472, 2481, 2511, 3292, 3369]",12
"(2, 1, 2, 2)",438,"[514, 642, 1493, 1612, 2094, 2103, 2133, 2307, 2544, 2549, 3075, 3233]",12
"(2, 1, 2, 2)",430,"[1455, 1689, 2028, 2033, 2348, 2600]",6
"(2, 1, 2, 2)",426,"[297, 445, 2392, 2502, 3099, 3353]",6
"(2, 1, 2, 2)",416,"[523, 633, 2124, 2314, 3059, 3393]",6
"(2, 1, 2, 2)",338,"[480, 738, 2019, 2357, 3003, 3421]",6
"(2, 1, 2, 2)",326,"[473, 747, 2024, 2605, 2998, 3271]",6
"(2, 1, 3, 1)",538,"[777, 1896, 2274, 2592, 2618, 2635]",6
"(2, 1, 3, 1)",470,"[510, 772, 2158, 2163, 2344, 2379, 2417, 2536, 2541, 2597, 2613, 2637]",12
"(2, 2, 0, 3)",506,"[909, 982, 986, 1176, 1282, 1554, 2851, 3087, 3109, 3114, 3191, 3381]",12
"(2, 2, 0, 3)",492,"[848, 1211, 1392, 1430, 1469, 1589, 2673, 2703, 2750, 3066, 3243, 3360]",12
"(2, 2, 0, 3)",490,"[853, 944, 1322, 1645, 1680, 1701, 2668, 2708, 2746, 2816, 3152, 3409]",12
"(2, 2, 0, 3)",466,"[904, 1246, 1287, 2855, 3187, 3325]",6
"(2, 2, 0, 3)",434,"[939, 1106, 1317, 1387, 1434, 1465, 2820, 2940, 2975, 3010, 3156, 3247]",12
"(2, 2, 0, 3)",420,"[1360, 1364, 1624, 2773, 2778, 3031]",6
"(2, 2, 1, 2)",531,"[97, 714, 974, 1677, 2246, 2625, 2876, 2883, 3139, 3148, 3179, 3429]",12
"(2, 2, 1, 2)",517,"[391, 784, 1352, 1714, 1868, 2569, 2803, 2812, 2843, 3212, 3219, 3406]",12
"(2, 2, 1, 2)",514,"[1457, 1698, 1777, 2604, 2742, 3268]",6
"(2, 2, 1, 2)",504,"[978, 1243, 1417, 1422, 1910, 2170, 2211, 2478, 3183, 3289, 3293, 3378]",12
"(2, 2, 1, 2)",500,"[1356, 1490, 1494, 1621, 1833, 2100, 2288, 2548, 2847, 3084, 3230, 3235]",12
"(2, 2, 1, 2)",500,"[1466, 1691, 1772, 2354, 2747, 3420]",6
"(2, 2, 1, 2)",481,"[92, 442, 1236, 1431, 2241, 2389, 2885, 3098, 3153, 3298, 3350, 3371]",12
"(2, 2, 1, 2)",478,"[983, 1670, 1906, 2206, 3188, 3427]",6
"(2, 2, 1, 2)",466,"[482, 749, 2733, 2738, 3275, 3422]",6
"(2, 2, 1, 2)",448,"[1361, 1712, 1828, 2284, 2852, 3399]",6
"(2, 2, 1, 2)",447,"[386, 520, 1499, 1614, 1863, 2311, 2817, 3056, 3077, 3221, 3244, 3392]",12
"(2, 2, 1, 2)",445,"[308, 447, 969, 1426, 2393, 2513, 2880, 3100, 3144, 3174, 3296, 3357]",12
"(2, 2, 1, 2)",428,"[477, 3000, 3277]",3
"(2, 2, 1, 2)",425,"[524, 644, 1347, 1497, 2135, 2316, 2808, 2838, 3063, 3216, 3239, 3394]",12
"(2, 2, 1, 2)",412,"[1452, 1461, 2030, 2358, 3007, 3272]",6
"(2, 2, 2, 1)",519,"[512, 781, 1898, 2276, 2381, 2601, 2622, 2638, 2872, 3208, 3264, 3307]",12
"(2, 2, 2, 1)",510,"[1491, 1709, 1902, 1907, 2280, 2285, 2341, 2414, 2594, 2636, 3290, 3424]",12
"(2, 2, 2, 1)",495,"[521, 774, 1893, 2271, 2350, 2390, 2421, 2615, 2877, 3213, 3417, 3431]",12
"(2, 2, 2, 1)",471,"[507, 516, 2160, 2355, 2376, 2385, 2423, 2538, 3095, 3269, 3309, 3389]",12
"(2, 2, 2, 1)",462,"[1486, 2167, 2346, 2418, 2545, 3285]",6
"(2, 2, 3, 0)",574,"[2410, 2415, 2633]",3
"(2, 3, 0, 2)",480,"[980, 1428, 2884, 3150, 3185, 3297]",6
"(2, 3, 0, 2)",472,"[1463, 2744, 3276]",3
"(2, 3, 0, 2)",398,"[1358, 1498, 2814, 2849, 3220, 3241]",6
"(2, 3, 1, 1)",498,"[518, 2387, 2874, 3210, 3273, 3310]",6
"(2, 3, 1, 1)",437,"[1488, 1495, 1904, 2282, 2352, 2422, 2881, 3217, 3266, 3287, 3294, 3308]",12
"(2, 3, 2, 0)",466,"[2412, 2419, 3305]",3
