Kategorie,Anzahl Loesungen,Indizes der Puzzles,Anzahl der Puzzles
"(0, 2, 2, 3)",418,"[51, 108, 250, 586, 989, 1290, 2153, 2186, 2257, 2531, 2858, 3117]",12
"(0, 2, 2, 3)",414,"[326, 345, 912, 1879, 2455, 3194]",6
"(0, 2, 2, 3)",410,"[21, 276, 429, 462, 502, 612, 1750, 2331, 2680, 2758, 3069, 3363]",12
"(0, 2, 2, 3)",362,"[285, 422, 493, 621, 856, 1437, 1731, 1788, 2118, 2496, 2711, 3250]",12
"(0, 2, 2, 3)",312,"[194, 458, 947, 1325, 1395, 1472, 1844, 1972, 2007, 2048, 2222, 2327]",12
"(0, 2, 2, 3)",264,"[75, 369, 420, 488, 1113, 1442, 1853, 1963, 2041, 2231, 2982, 3255]",12
"(0, 2, 2, 3)",236,"[70, 185, 364, 425, 467, 497, 1998, 2336, 2828, 2947, 3013, 3164]",12
"(0, 2, 3, 2)",496,"[398, 787, 1836, 1875, 2291, 2576]",6
"(0, 2, 3, 2)",458,"[104, 721, 1913, 2214, 2253, 2628]",6
"(0, 2, 3, 2)",418,"[489, 756, 1780, 1784, 2361, 2607]",6
"(0, 2, 3, 2)",366,"[394, 527, 532, 651, 1840, 1871, 2107, 2142, 2296, 2319, 2323, 2551]",12
"(0, 2, 3, 2)",316,"[100, 315, 450, 454, 1918, 2173, 2218, 2249, 2396, 2401, 2485, 2520]",12
"(0, 2, 3, 2)",162,"[485, 2037, 2366]",3
"(0, 3, 0, 4)",500,"[870, 888, 1304, 1339, 2652, 2795]",6
"(0, 3, 0, 4)",490,"[811, 926, 961, 1266, 2725, 3131]",6
"(0, 3, 0, 4)",456,"[832, 1409, 2690]",3
"(0, 3, 1, 3)",574,"[408, 1369, 1376, 1812, 2782, 2791]",6
"(0, 3, 1, 3)",495,"[27, 464, 948, 1326, 1405, 1481, 1756, 2333, 2686, 2762, 2825, 3161]",12
"(0, 3, 1, 3)",481,"[114, 349, 913, 922, 998, 1291, 1885, 2190, 2860, 3127, 3196, 3203]",12
"(0, 3, 1, 3)",476,"[55, 991, 1300, 2263, 2867, 3118]",6
"(0, 3, 1, 3)",468,"[866, 957, 1335, 1396, 1439, 1474, 1735, 1794, 1850, 2228, 2721, 3252]",12
"(0, 3, 1, 3)",457,"[76, 370, 426, 499, 857, 1446, 2677, 2712, 2755, 2832, 3168, 3259]",12
"(0, 3, 2, 2)",572,"[395, 536, 1872, 2329, 2821, 3223]",6
"(0, 3, 2, 2)",538,"[404, 529, 1365, 1501, 1837, 1846, 1881, 2293, 2300, 2320, 2856, 3248]",12
"(0, 3, 2, 2)",514,"[1470, 1790, 2363]",3
"(0, 3, 2, 2)",490,"[101, 460, 2250, 2405, 2887, 3157]",6
"(0, 3, 2, 2)",477,"[110, 451, 987, 1435, 1915, 1922, 2215, 2224, 2259, 2398, 3192, 3300]",12
"(0, 3, 2, 2)",360,"[486, 495, 1781, 2370, 2751, 3279]",6
"(0, 3, 3, 1)",512,"[525, 1911, 2289, 2359, 2394, 2425]",6
"(1, 0, 0, 6)",502,"[1007, 1022]",2
"(1, 0, 1, 5)",495,"[125, 153, 224, 545, 1011, 1027, 1034, 1062, 1161, 1517, 2916, 2925]",12
"(1, 0, 1, 5)",466,"[132, 1018, 1069, 1152, 1510, 1946]",6
"(1, 0, 1, 5)",415,"[120, 168, 209, 560, 1002, 1047, 1056, 1082, 1139, 1539, 2896, 2903]",12
